ID,RougeMesuré,VertMesuré,BleuMesuré,Brightness,L21S_VDD2L_MEM_ENERGY_AVG_UWS,UFS(Disk)_ENERGY_AVG_UWS,S12S_VDD_AUR_ENERGY_AVG_UWS,Camera_ENERGY_AVG_UWS,GPU3D_ENERGY_AVG_UWS,Sensor_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS.1,Display_ENERGY_AVG_UWS,GPS_ENERGY_AVG_UWS,GPU_ENERGY_AVG_UWS,WLANBT_ENERGY_AVG_UWS,L22M_DISP_ENERGY_AVG_UWS,S6M_LLDO1_ENERGY_AVG_UWS,S8M_LLDO2_ENERGY_AVG_UWS,S9M_VDD_CPUCL0_M_ENERGY_AVG_UWS,CPU_BIG_ENERGY_AVG_UWS,CPU_LITTLE_ENERGY_AVG_UWS,CPU_MID_ENERGY_AVG_UWS,INFRASTRUCTURE_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS.1,INFRASTRUCTURE_ENERGY_AVG_UWS.1,TPU_ENERGY_AVG_UWS,CPU_LITTLE_FREQ_KHz,CPU_MID_FREQ_KHz,CPU_BIG_FREQ_KHz,GPU0_FREQ,GPU_1FREQ,GPU_MEM_AVG,BATTERY_DISCHARGE_TOTAL_UA,BATTERY_DISCHARGE_RATE_UAS,TOTAL_DATA_WIFI_BYTES,AVG_SOC_TEMP,DIFF_SOC_TEMP,BATTERY__PERCENT,L21S_VDD2L_MEM_ENERGY_UW,UFS(Disk)_ENERGY_UW,S12S_VDD_AUR_ENERGY_UW,Camera_ENERGY_UW,GPU3D_ENERGY_UW,Sensor_ENERGY_UW,Memory_ENERGY_UW,Memory_ENERGY_UW.1,Display_ENERGY_UW,GPS_ENERGY_UW,GPU_ENERGY_UW,WLANBT_ENERGY_UW,L22M_DISP_ENERGY_UW,S6M_LLDO1_ENERGY_UW,S8M_LLDO2_ENERGY_UW,S9M_VDD_CPUCL0_M_ENERGY_UW,CPU_BIG_ENERGY_UW,CPU_LITTLE_ENERGY_UW,CPU_MID_ENERGY_UW,INFRASTRUCTURE_ENERGY_UW,CELLULAR_ENERGY_UW,CELLULAR_ENERGY_UW.1,INFRASTRUCTURE_ENERGY_UW.1,TPU_ENERGY_UW,C_ID,C_PL,M_ID,M_PL
0,32,40,188,48,2783.048711,31526.12584,5889.448326,22975.69766,88081.60316,13520.38263,34844.07918,242926.5202,282138.0436,544.945405,365543.9906,142200.0069,50641.77434,183131.1128,37462.47263,27255.81946,2000847.133,551461.7509,1974581.773,362491.771,8126.588141,0,61172.37147,0,1213324,4640709,2867752,886019,871426,563507200,-14000,1806387.4,6204451,33375,5898,100,83833,932911,178375,701404,2636822,408574,1046781,7260958,8465616,16421,10986629,4278647,1517434,5460745,1132316,825403,58376056,16562913,59313522,10845836,239115,0,1851440,0,0,52.46266667,0,5005670.773
1,160,213,87,100,2767.7861,32091.85211,6000.364739,25655.31039,77808.78711,14502.10534,32790.07796,207156.4821,503484.7422,557.3555214,322674.6395,199879.4376,50905.34057,153763.4241,36513.41298,22066.01817,1705200.52,364721.3878,354238.0395,312114.4837,8307.787995,0,54768.61227,0,1204965,1041026,2218509,828774,800764,528617472,-10000,1284494.769,1638739,39229.16667,1113,100,82679,938591,179432,767428,2326772,429357,979581,6223311,15004447,16642,9621018,5965268,1518159,4591616,1090319,660431,51175472,10891415,10365546,9320314,235178,0,1638069,0,15.60666667,33.55393333,325134.9067,4862364
2,117,16,152,52,2837.521058,32063.76785,5784.204505,28103.68843,29550.12662,12950.51439,18002.25557,113773.3447,241791.9876,509.8921347,93585.44395,200528.1108,53003.4914,184412.0106,38184.86985,27496.02949,1746724.344,539165.3589,1430254.009,161678.8335,7482.855478,0,46960.40042,0,979708,3444339,2835045,313765,241235,472702976,-12000,1507074.8,1952385,41045.28571,2889,100,84816,952965,172620,844783,886343,387080,540497,3394859,7216159,15274,2795771,6021397,1578428,5466321,1144206,822331,51562014,16102261,42657671,4828914,215062,0,1406759,0,28.48,44.25106667,254170.2667,4843529.067
3,94,120,103,92,2432.537817,31293.87008,5902.317332,26241.30573,63219.09585,12543.16883,26647.78114,155331.8698,292715.8663,541.9564786,261897.5036,74964.93726,53272.00661,131764.8307,34576.05981,19723.77584,932370.9753,309738.1632,114721.6533,176044.4437,6812.469423,0,39043.85495,0,1061468,794611,1867156,770232,668140,506462208,-8000,727788.0385,1327500,40658.625,69,100,76999,974475,186168,828754,1996597,396168,851371,4935526,9237671,17124,8292842,2468593,1683032,4175104,1095099,629369,29452811,10566070,4072483,5738994,209921,0,1240886,0,10.91333333,31.20486667,278257.76,4877474.507
4,231,191,150,59,2887.679612,34047.31314,6348.345499,29204.83915,78887.87012,13595.00997,34415.68179,202641.0469,468785.6601,587.4495706,327536.0071,205202.9984,54561.2643,154628.0887,38261.6886,22797.97606,1547478.15,394109.1839,276864.4734,280677.7988,7665.524669,0,55471.80934,0,1044489,940304,2208314,830193,787597,528166912,-10000,1170509.074,1098022,42446.11111,2496,99,87096,1104536,190886,883809,2373092,408951,1036394,6105948,14029287,17677,9831322,6177893,1632394,4623366,1151289,683531,46425021,11709184,8168598,8408356,229688,0,1685814,0,12.12751678,31.43013423,297903.2215,4886299.114
5,121,73,133,66,2886.172109,36157.12108,6374.884753,29923.69157,77049.68531,13861.05343,34741.78897,203445.3958,276927.7507,587.1846331,317072.9382,205001.9574,53709.71855,157519.4556,39308.10613,26047.02123,878626.01,458368.7639,1225521.407,248096.6023,7587.669015,0,54995.98287,0,1133732,3761832,1877197,820801,765026,544305152,-12000,1186297.577,1406238,44370.875,3064,99,86481,1063300,191663,897371,2291504,415996,1037974,6042302,8306794,17644,9450992,6169879,1610843,4646544,1176374,771860,26189422,13410752,34019144,7281545,226393,0,1626075,0,35.88590604,52.12845638,312946.6846,4902515.839
6,228,86,110,93,2929.359668,29077.42889,5508.76327,26118.73697,31201.15727,12011.50098,11068.22891,91996.39724,384404.3426,506.7855988,90642.66769,195490.9606,53653.69758,125572.1962,33723.83791,19435.75191,430229.9073,312308.4957,445945.7742,96158.48572,5965.777294,0,36062.85863,0,1131475,2560943,1337181,366434,279687,539430912,-4000,814849.88,1249870,44143.55556,-297,98,83399,829133,158737,748168,894163,345195,326591,2654125,11735631,14580,2640089,5654574,1537631,3621987,970245,562886,12184261,9089825,13041891,2803300,161454,0,1031940,0,32.22818792,48.61624161,245790.4161,4890146.309
7,197,113,207,19,2854.181084,29810.65288,6136.397412,24136.38079,78097.07337,13082.88771,33916.46042,200575.0581,216858.7094,575.3385951,323686.3307,205183.1333,51668.34207,131166.6787,35747.05714,20748.47386,994342.6149,280665.5079,160718.9662,272170.2363,7004.373777,0,51625.25908,0,1010727,961022,1959863,842711,813897,612458496,-8000,800825.75,1018262,44093.71429,2086,97,90104,1018681,194451,765798,2449565,414000,1076191,6347801,6867136,18213,10091868,6477156,1634578,4145064,1133331,661434,30624656,8984774,5121764,8566725,217756,0,1638991,0,16.91275168,33.53630872,377898.3356,5022234.658
8,86,155,93,23,2654.440377,33600.03732,6074.632524,28690.94052,69731.49272,13119.05681,32155.44393,178902.6098,145516.4145,557.8195635,295823.9927,203915.8922,52207.97169,136544.391,36261.03192,22814.20778,765742.8052,367647.4914,639405.4637,188908.3997,7253.358036,0,44562.73276,0,1112397,2970830,1837189,815988,727623,546885632,-8000,940676.9167,2179995,45439.66667,1904,97,79479,994538,182255,860803,2087660,392428,959805,5349420,4348963,16703,8785523,6128874,1559309,4075701,1085120,681747,22883888,11085103,18369168,5694106,218673,0,1338935,0,36.28,52.2698,294761.3333,4931528.48
9,72,57,126,19,2285.507295,27382.98203,5921.496569,21393.84218,52867.40565,12408.1161,11564.15717,120177.0605,137971.5207,537.4571845,190266.0289,201953.7833,52444.20815,125651.1886,33227.85411,19123.16916,330296.6266,204320.0686,83152.10723,128208.639,8369.935482,0,33302.52177,0,1000636,794115,1300473,683637,571287,577359872,-4000,608515.2857,865399,44554.71429,-367,96,72202,846794,182626,671264,1727146,384107,463449,4040268,4230338,16638,6488471,6276943,1618894,3875488,1029939,592536,12467819,6792174,2853488,4388489,239834,0,1078408,0,17.79333333,35.04286667,313292.88,5040995.227
10,108,106,170,53,2226.165861,31407.53202,6004.984906,28009.05589,36974.54723,12822.12106,20416.05568,197869.2193,318065.2676,535.9262684,120205.6123,226552.5695,54742.96286,156263.9258,35841.3701,26940.74013,331938.4162,590003.2192,480456.6286,159739.0945,6784.809151,0,41723.28626,0,1782062,err,1127859,458839,346411,487063552,-8000,874747.5,4348794,45214.72727,454,95,68285,961715,184352,859996,1129503,393521,633748,6189526,9746209,16439,3679036,6944957,1679953,4818062,1099550,837726,10228030,18371187,14994249,4993759,207746,0,1287701,0,55.38,74.02753333,356440.6133,5059740.693
11,114,129,186,83,4561.822376,28446.21633,5553.972368,24361.06625,21426.19217,11829.3004,6726.40848,71405.54682,500139.3098,515.3132789,54201.37286,203314.8586,49679.00095,105528.0137,32280.68125,18465.95776,216177.6654,249067.6485,210842.9005,63378.82769,8403.244718,0,33305.66356,0,1048338,1625655,1110129,236250,182573,516997120,-4000,486296.5,1175580,44396.5,-801,95,114457,706413,138582,609625,541098,296444,170619,1812209,12533249,12893,1352839,5040520,1243569,2643634,805889,460890,5478932,6236325,5254935,1570381,209075,0,834383,0,28.74666667,46.81786667,247152.8267,4907974.907
12,158,208,137,28,4483.332138,28223.39809,5486.839916,24503.93955,29898.34209,11679.67986,8985.721287,84055.65004,233200.3575,513.025533,85447.6339,203170.5823,53743.94957,107078.1855,32177.94468,17969.61757,150045.0636,231195.5141,188451.0976,72572.73107,7078.032796,0,33504.43578,0,993285,1100272,901030,373035,283389,482373632,-4000,471023.4483,1486585,43249.28571,-343,95,141060,926906,181300,809170,995370,388603,322182,2883676,7765067,16953,2857070,6744925,1777253,3591669,1068120,601953,6495264,7888582,5838151,2670511,231771,0,1116217,0,8.153333333,27.07926667,245581.0933,4839620.987
13,44,182,222,9,2752.487437,29355.95071,5866.385307,23736.64012,75935.0941,12696.18783,32301.17806,199353.315,157966.6574,555.1065338,314708.8876,199800.1361,50845.58514,130207.6397,34698.78048,20306.28509,946670.6795,277644.8594,164662.5817,283036.7448,6715.223995,0,51011.97571,0,911563,946060,1949271,838877,815794,586948608,-6000,808581.5769,2107326,43953,2315,94,81955,953875,175116,707377,2254467,379233,964805,5931439,4700703,16565,9342325,5957837,1514229,3882269,1033270,605715,27756654,8185324,5025689,8394427,202512,0,1521373,0,14.08724832,31.54053691,358941.7181,4977194.497
14,101,128,64,19,2211.895099,30875.03945,5696.703165,25695.21709,44577.65511,12106.29625,13012.94789,108086.7302,117822.9285,523.4601165,168262.7196,196438.6108,54259.45893,126040.7772,32697.78304,18709.86396,304542.4032,222146.4934,118123.9424,123656.5699,6562.898976,0,33017.61385,0,1016228,881413,1117669,592238,489636,508723200,-4000,537047.1724,1099389,44445,-252,94,73380,1008878,188539,850850,1479402,401584,448150,3659765,4005565,17357,5536786,6506901,1796702,4201338,1087439,629053,10500082,7763850,4337160,4252929,226975,0,1102794,0,16.63087248,36.28697987,255947.0067,4984782.336
15,48,233,209,19,2219.975542,31312.02586,5569.758027,26040.61848,38192.85796,12410.03576,21041.08169,123992.1249,230632.7421,514.8447693,127812.6138,196080.3663,53708.34475,130946.694,34555.67493,20697.73507,567190.288,338336.6437,507637.4288,137834.738,7219.617642,0,35799.71148,0,1146545,2374308,1680317,505265,397313,518287360,-8000,826099.92,1097801,44384.875,1031,93,66415,919804,166085,778487,1139514,369689,621527,3683849,6872254,15377,3850375,5823170,1598692,3882551,1027952,616602,16865912,10125049,14324572,4114715,210776,0,1067224,0,29.36912752,46.08865772,267106.2819,4853832.886
16,157,46,12,62,2365.394135,29584.41001,5811.722267,23582.68096,53005.49686,12750.28886,31186.93553,222182.2834,172579.1639,531.0156389,203576.3427,198661.8531,52279.90753,158633.09,35538.70518,28851.20008,338233.5165,755387.4424,554054.9046,199752.5793,7091.288581,0,43415.0456,0,2082609,err,1146596,621643,539397,555126784,-6000,961754.6538,1022595,44896.2,1612,93,71452,883481,175969,715927,1592023,385092,947678,6732991,5187187,16007,6175123,5969700,1575761,4808932,1072505,874692,10219188,22838202,16931618,6051286,215244,0,1324043,0,62.52666667,76.2954,393502.56,5037681.84
17,239,7,163,97,2236.159458,31162.9928,5982.618537,25969.3446,48112.69611,13065.34014,20028.92966,199485.7487,559170.3901,537.1981398,172592.3413,216653.1168,54068.47758,159967.0723,35852.66854,27882.20335,344483.6287,647262.8537,509126.8892,165720.1085,6643.147454,0,42875.01431,0,1968010,err,1131765,617450,480224,547827712,-8000,946189.7308,2574369,46051.42857,740,92,67311,929444,179998,783164,1447122,392560,611473,6089241,16800146,16142,5185808,6445958,1627213,4846435,1080646,844215,10343191,19571608,15710837,5028185,206163,0,1295161,0,61.55333333,77.89266667,374703.92,5105919.84
18,187,181,121,32,2513.381281,28956.88385,5973.309178,22887.47069,54954.1814,12957.5365,28270.7961,156305.7651,240535.9232,557.5164389,227968.3546,213253.2233,52681.2076,127811.5495,35227.81593,20240.90575,343684.8286,298652.1684,289706.1229,173042.5693,7531.791423,0,40428.06095,0,894335,1844874,1148033,614753,554239,519045120,-6000,644409.5556,5522245,46344.66667,191,91,77500,881921,184660,706884,1694629,399511,870690,4833994,7410863,17190,6992525,6549282,1625111,3942092,1086689,624159,10596567,9237872,8954287,5331813,230002,0,1247122,0,38.57718121,52.70261745,328299.0604,4953134.685
19,176,73,55,39,2349.657891,29328.1549,5887.516966,23242.34869,52547.06206,12737.11853,17713.25952,134009.8757,161364.55,541.9080219,211345.5193,201250.6911,53181.50171,136628.6379,34627.66093,20960.88835,343301.2291,331778.1037,404119.3334,146210.8091,7033.807785,0,37984.8446,0,1221547,2161489,1152181,630312,544262,511377408,-6000,666970.8077,871474,45860.28571,453,91,70623,871362,176468,698460,1575985,382892,530517,4023579,4847899,16279,6349492,6052249,1596663,4105911,1040704,629458,10318242,9970371,12118893,4388305,208527,0,1138710,0,45.28666667,59.7146,291281.1733,4891680.72
